longitude,latitude,Ward,ward,colortest
-0.32861,51.71423,Park Street,PST,#C62828
-0.29506,51.72097,London Colney,LCO,#283593
-0.37432,51.71514,St Stephen,SST,#FF9800
-0.33348,51.73834,Sopwell,SOP,#C62828
-0.31302,51.73941,Cunningham,CNN,#283593
-0.33349,51.75132,St Peters,STP,#FF9800
-0.31453,51.75349,Clarence,CLA,#C62828
-0.29449,51.75005,Hill End,HLE,#283593
-0.38585,51.74809,Verulam,VER,#FF9800
-0.27002,51.74585,Colney Heath,COH,#C62828
-0.34481,51.76414,Batchwood,BAT,#283593
-0.31441,51.76599,Marshalswick West,MWW,#FF9800
-0.29198,51.76558,Marshalswick East & Jersey Farm,MEJ,#C62828
-0.32949,51.76616,Bernards Heath,BNH,#283593
-0.34826,51.80009,Harpenden South,HAS,#FF9800
-0.39113,51.78509,Redbourn,RDB,#C62828
-0.35752,51.81396,Harpenden West,HAW,#283593
-0.34128,51.82285,Harpenden East,HAE,#FF9800
-0.38395,51.81974,Harpenden North & Rural,HNR,#C62828
-0.30132,51.80854,Sandridge & Wheathampstead,SWH,#283593